# What the compiler wrote for every benchmark BUT the decoder, counted from
# each .ll before the linker touches it — so this is deterministic and, unlike
# a timing, blind to code layout.
#
# bench/emitted_golden.txt beside this one watches the decoder alone, and it
# exists because 7.6% of decode speed leaked away between 2026-07-27 and
# 2026-08-07 while every allocation counter stayed byte-identical: the decoder
# gained 20% more calls and 23% more branches for the same work, one or two
# per cent at a time, and nothing was watching the dimension that moved.
#
# Eight other programs are built by the same step and have cost goldens of
# their own. None of them was watched on this dimension, so the leak that was
# found once in the decoder could still happen in any of them, in silence.
# scanbench is the largest at 20,019 lines and is not in bench/text_golden.txt
# either.
#
# A rise here is a regression to explain; a fall is a win to bank. Either way
# say which in the PR and regenerate. The per-line diff names the program.
#
# 2026-08-30: scanbench 3745 -> 3743 calls, 2216 -> 2214 branches, 20023 ->
# 20019 lines. Banked. The hoister found repeated interpolations with
# `collect_hoistable`, which walks with `for_each_child`, and replaced them
# with `replace_shape`, which walked with `lib::walk_children_mut` — and that
# walk had no arm for a block, a build or a guard. So a repeat found inside one
# of those got its `onceN` binding emitted and none of its uses rewritten: two
# bindings of dead code in this program, and the pattern in any program that
# repeats an interpolation inside a nested body. The walk has the arms now and
# the two agree.
# 2026-08-31: indexbench joins, at 35 defines, 159 calls, 76 branches and
# 1,104 lines. It reads a string forward one character at a time, which is the
# only shape in the tree that asks `s[i]` of multibyte text.
# 2026-08-31: digestbench joins, at 160 defines, 1,571 calls, 857 branches and
# 9,082 lines. It is the only benchmark whose PEAK is the point — sha256 walks
# a padded message sixty-four bytes at a time and everything a block builds is
# dead when the next starts, so what it holds is a property of the algorithm
# in a compiler that reclaims and a property of the message in one that does
# not. It reads 82,837,504 arena bytes for an 8,192-byte message.
# 2026-09-02: every one of the ten gains two defines, four calls, six
# branches and fifty-three lines. The compiler now writes an inline dispatcher
# beside each `k_call{n}` site — one twin per arity the program uses, and
# every program here uses exactly two, arity one and arity two. The bodies are
# `internal` and vanish into their call sites during optimization, so what
# this vein counts is the definition rather than the code: `.text` rises by a
# few hundred bytes where the sites are live and not at all where they are
# not.
# 2026-09-02 (later): every one of the ten gains the same two defines, three
# calls, three branches and forty-nine lines. Unlike the call twins these are
# carried in DECLARES rather than generated against the body, the way their
# siblings `k_check_tag`, `k_check_int` and `k_check_bool` already are: every
# program that has a record type writes both, and the two that do not still
# carry the definitions for a line each.
# 2026-09-02 (later still): the same six defines, seven calls, eight branches
# and 117 lines everywhere. Six bit builtins gained inline twins. Only
# digestbench calls any of them, and it is the only binary whose `.text`
# moves: 95,586 to 97,554. The other nine carry six unreachable definitions
# that the linker removes.
# 2026-09-02 (later): the same one define, two calls, three branches and
# thirty-nine lines on all ten. `.text` is where they differ: five of these
# binaries get smaller and four get larger, because replacing a call with a
# short inline body changes what the inliner does around it.
# 2026-09-03 (a number's bytes are read once): one define fewer, twenty more
# calls and 89 more lines, in the decoder and in oneshot beside it. The json
# library used to walk a number twice — `number_end` to find where it stopped,
# `mark_from?` over the same bytes to decide float or int — and the mark rides
# the single scan now. Two small walkers became one larger one with an extra
# argument, which is why the line count rises while the work falls: jsonbench
# retires 4.14% fewer instructions for it. `branches` does not move.
# 2026-09-03 (a byte switch on the byte): eight calls, twenty-four branches
# and eighty lines fewer in the decoder, and the same shape in the four
# programs beside it that dispatch on bytes. A group whose discriminator
# crossed as a raw i64 had that i64 rebuilt into a KValue for the dispatch
# tree to take apart again; the tree switches on the raw value now. The
# branches this drops are the tag test and the none test the tree wrote per
# call. jsonbench retires 13.56% fewer instructions for it.
#
# 2026-09-05 (third): every row gains 1 define, 2 calls, 1 branch and 26 lines
# — `k_b_utf8_slice_fast`, written into every module by the prelude. Ten of the
# eleven programs here do not call it and the linker drops it from all ten:
# bench/text_golden.txt moved on two rows only.
#
# 2026-09-05 (fourth): every row gains 1 define, 2 calls, 1 branch and 35
# lines for `k_b_find2_below_fast`. Nine of the eleven never call it and the
# linker drops it from all nine: bench/text_golden.txt moves on three rows.
#
# 2026-09-05 (fifth): every row gains 8 branches and 54 lines — the in-place
# append's copy became a width ladder in the prelude, written into every module
# whether it appends anything or not. Four of the twelve .text rows grew; the
# linker drops the arm from the other eight.
#
# 2026-09-05 (sixth): every row loses eight calls and nothing else moves. The
# counter greps the whole .ll for `call `, and the prelude's comments use the
# word eight times; the gate strips comment lines before counting now. No
# emitted code changed.
#
# 2026-09-05: livebench joins, at 179 defines and 12,239 lines. Same gap and
# the same day as the .text vein: the one benchmark that watches the shipped
# library's encode path had nothing counting what the compiler wrote for it.
#
#
# 2026-09-05 (the literal's fast door): every program gains the same one
# define and eleven lines.
#
#
# 2026-09-06 (the array's second walk over the same whitespace): oneshot and
# livebench each lose one call and two lines, and the other ten hold. Both
# decode; `array_items` no longer calls `skip_ws` before `parse_value`, which
# opens with its own. Banked.
#
# 2026-09-06 (the `and` under an `if` is asked in pieces): six of the twelve
# fall and none rises. Every `and`, `or` and `not` in a condition stops
# building a boolean for the outer `if` to take apart, so the programs that
# write one lose branches and lines. Banked.
#
# 2026-09-06 (a capture-free lambda is a link-time constant): every program
# loses calls — encodebench 1,648 -> 1,646, basket 1,278 -> 1,270, livebench
# 1,864 -> 1,862. A lambda that captures nothing used to build its closure
# through `k_closure_lit` into a mutable cell on first visit; it is three module
# constants now and the site loads one, so the call goes and the closure's
# function pointer folds at link time. Three constants replace one call, so
# `lines` falls where a program has few such lambdas (encodebench -8, deepbench
# -5, digestbench -7) and rises where it has several (basket +7, escapebench +1,
# indexbench +1). defines and branches hold everywhere. Banked.
#
# 2026-09-06 (a `length` the sets prove is a header load): calls fall and
# lines rise by four apiece in the five programs that have such a site --
# encodebench and oneshot -2 calls +8 lines, widebench -2 +8, livebench -2 +8,
# digestbench -1 +4. Four IR lines replace one call to the twin. The other
# seven programs are byte-identical; defines and branches hold everywhere.
# Banked.
#
# 2026-09-06 (the fold reads its length once): nine of the twelve rise by the
# same +2 calls, +1 branch, +10 lines -- `list/fold_flat` carries a fifth
# parameter, so its declaration and both edges of its tail cycle each take one
# more argument. escapebench, indexbench and readbench do not import std/list
# and hold to the line. defines hold everywhere. Banked as the price of
# encodebench -1.3766% and six other work rows falling.
# 2026-09-06 (the proven-tags append, and the escape arms folded into esc_pair): every program gains the k_b_append_mut_int twin the emitter now writes into the preamble -- +1 define, +1 call, +3 branches, +46 lines. The two here that import lib/json, oneshot and livebench, gain esc_pair on top of it: +2 defines, +1 call, +5 branches, +75 lines. The other ten hold to the twin alone.
encodebench defines=182 calls=1640 branches=1008 lines=11142
oneshot defines=139 calls=1244 branches=803 lines=9141
basket defines=141 calls=1270 branches=795 lines=7983
widebench defines=198 calls=1843 branches=1096 lines=12116
deepbench defines=115 calls=843 branches=579 lines=5883
escapebench defines=50 calls=114 branches=116 lines=1584
pendbench defines=129 calls=1218 branches=666 lines=6956
scanbench defines=330 calls=3283 branches=2115 lines=19707
indexbench defines=56 calls=155 branches=136 lines=1914
digestbench defines=189 calls=1539 branches=905 lines=9931
readbench defines=59 calls=159 branches=149 lines=2126
livebench defines=140 calls=1268 branches=817 lines=9258
runbench defines=581 calls=6105 branches=3438 lines=34677
